wid	uid	type	message	variables	severity	link	location	referer	hostname	timestamp
122	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:172:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://192.168.59.109:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=b489fd1e-3183-4179-a4ba-c991b340b640.40959c73-dc02-445f-b5e1-5b5576c56fbb.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2F192.168.59.109%3A8080%2Frealms%2Fmaster&session_state=40959c73-dc02-445f-b5e1-5b5576c56fbb&state=0rfx2Pyi8Co9sgpyzIP7U5rzI7CAb1rUH4EY-apPd_s		192.168.59.1	1757395811
121	1	user	Session closed for %name.	a:1:{s:5:"%name";s:13:"akshay2642005";}	6		http://drupal.home.clcreative.de/user/logout?token=BrnbWJsm4YQczqxUray0SzuPQWrLox7bUdIcSr2rK4Q	http://drupal.home.clcreative.de/	192.168.59.1	1757395803
120	1	system	Failed to retrieve security advisory data.	a:6:{s:5:"%type";s:37:"GuzzleHttp\\Exception\\ConnectException";s:8:"@message";s:137:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for https://updates.drupal.org/psa.json";s:9:"%function";s:49:"GuzzleHttp\\Handler\\CurlFactory::createRejection()";s:5:"%file";s:68:"/var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlFactory.php";s:5:"%line";i:275;s:17:"@backtrace_string";s:5972:"#0 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlFactory.php(205): GuzzleHttp\\Handler\\CurlFactory::createRejection()\n#1 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlFactory.php(157): GuzzleHttp\\Handler\\CurlFactory::finishError()\n#2 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/CurlHandler.php(47): GuzzleHttp\\Handler\\CurlFactory::finish()\n#3 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/Proxy.php(28): GuzzleHttp\\Handler\\CurlHandler->__invoke()\n#4 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Handler/Proxy.php(48): GuzzleHttp\\Handler\\Proxy::{closure:GuzzleHttp\\Handler\\Proxy::wrapSync():27}()\n#5 /var/www/drupal/vendor/guzzlehttp/guzzle/src/PrepareBodyMiddleware.php(35): GuzzleHttp\\Handler\\Proxy::{closure:GuzzleHttp\\Handler\\Proxy::wrapStreaming():47}()\n#6 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Middleware.php(31): GuzzleHttp\\PrepareBodyMiddleware->__invoke()\n#7 /var/www/drupal/vendor/guzzlehttp/guzzle/src/RedirectMiddleware.php(71): GuzzleHttp\\Middleware::{closure:{closure:GuzzleHttp\\Middleware::cookies():28}:29}()\n#8 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Middleware.php(66): GuzzleHttp\\RedirectMiddleware->__invoke()\n#9 /var/www/drupal/vendor/guzzlehttp/guzzle/src/HandlerStack.php(75): GuzzleHttp\\Middleware::{closure:{closure:GuzzleHttp\\Middleware::httpErrors():60}:61}()\n#10 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Client.php(333): GuzzleHttp\\HandlerStack->__invoke()\n#11 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Client.php(169): GuzzleHttp\\Client->transfer()\n#12 /var/www/drupal/vendor/guzzlehttp/guzzle/src/Client.php(189): GuzzleHttp\\Client->requestAsync()\n#13 /var/www/drupal/vendor/guzzlehttp/guzzle/src/ClientTrait.php(44): GuzzleHttp\\Client->request()\n#14 /var/www/drupal/web/core/modules/system/src/SecurityAdvisories/SecurityAdvisoriesFetcher.php(318): GuzzleHttp\\Client->get()\n#15 /var/www/drupal/web/core/modules/system/src/SecurityAdvisories/SecurityAdvisoriesFetcher.php(131): Drupal\\system\\SecurityAdvisories\\SecurityAdvisoriesFetcher->doRequest()\n#16 /var/www/drupal/web/core/modules/system/system.install(1706): Drupal\\system\\SecurityAdvisories\\SecurityAdvisoriesFetcher->getSecurityAdvisories()\n#17 /var/www/drupal/web/core/modules/system/system.install(207): _system_advisories_requirements()\n#18 [internal function]: system_requirements()\n#19 /var/www/drupal/web/core/lib/Drupal/Core/Extension/ModuleHandler.php(404): call_user_func_array()\n#20 /var/www/drupal/web/core/lib/Drupal/Core/Extension/ModuleHandler.php(357): Drupal\\Core\\Extension\\ModuleHandler->{closure:Drupal\\Core\\Extension\\ModuleHandler::invokeAll():403}()\n#21 /var/www/drupal/web/core/lib/Drupal/Core/Extension/ModuleHandler.php(403): Drupal\\Core\\Extension\\ModuleHandler->invokeAllWith()\n#22 /var/www/drupal/web/core/modules/system/src/SystemManager.php(128): Drupal\\Core\\Extension\\ModuleHandler->invokeAll()\n#23 /var/www/drupal/web/core/modules/system/src/SystemManager.php(112): Drupal\\system\\SystemManager->listRequirements()\n#24 /var/www/drupal/web/core/modules/system/src/Controller/SystemController.php(122): Drupal\\system\\SystemManager->checkRequirements()\n#25 [internal function]: Drupal\\system\\Controller\\SystemController->overview()\n#26 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(123): call_user_func_array()\n#27 /var/www/drupal/web/core/lib/Drupal/Core/Render/Renderer.php(627): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->{closure:Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber::wrapControllerExecutionInRenderContext():121}()\n#28 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(121): Drupal\\Core\\Render\\Renderer->executeInRenderContext()\n#29 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(97): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->wrapControllerExecutionInRenderContext()\n#30 /var/www/drupal/vendor/symfony/http-kernel/HttpKernel.php(183): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->{closure:Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber::onController():96}()\n#31 /var/www/drupal/vendor/symfony/http-kernel/HttpKernel.php(76): Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw()\n#32 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/Session.php(53): Symfony\\Component\\HttpKernel\\HttpKernel->handle()\n#33 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/KernelPreHandle.php(48): Drupal\\Core\\StackMiddleware\\Session->handle()\n#34 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/ContentLength.php(28): Drupal\\Core\\StackMiddleware\\KernelPreHandle->handle()\n#35 /var/www/drupal/web/core/modules/big_pipe/src/StackMiddleware/ContentLength.php(32): Drupal\\Core\\StackMiddleware\\ContentLength->handle()\n#36 /var/www/drupal/web/core/modules/page_cache/src/StackMiddleware/PageCache.php(116): Drupal\\big_pipe\\StackMiddleware\\ContentLength->handle()\n#37 /var/www/drupal/web/core/modules/page_cache/src/StackMiddleware/PageCache.php(90): Drupal\\page_cache\\StackMiddleware\\PageCache->pass()\n#38 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/ReverseProxyMiddleware.php(48): Drupal\\page_cache\\StackMiddleware\\PageCache->handle()\n#39 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/NegotiationMiddleware.php(51): Drupal\\Core\\StackMiddleware\\ReverseProxyMiddleware->handle()\n#40 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/AjaxPageState.php(53): Drupal\\Core\\StackMiddleware\\NegotiationMiddleware->handle()\n#41 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/StackedHttpKernel.php(51): Drupal\\Core\\StackMiddleware\\AjaxPageState->handle()\n#42 /var/www/drupal/web/core/lib/Drupal/Core/DrupalKernel.php(715): Drupal\\Core\\StackMiddleware\\StackedHttpKernel->handle()\n#43 /var/www/drupal/web/index.php(19): Drupal\\Core\\DrupalKernel->handle()\n#44 {main}";}	3		http://drupal.home.clcreative.de/admin/config	http://drupal.home.clcreative.de/user/1?check_logged_in=1	192.168.59.1	1757395626
119	1	user	Session opened for %name.	a:1:{s:5:"%name";s:13:"akshay2642005";}	6		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757395621
118	0	user	Flood control blocked login attempt for uid %uid from %ip	a:2:{s:4:"%uid";s:1:"1";s:3:"%ip";s:12:"192.168.59.1";}	5		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757395620
117	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:172:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://192.168.59.109:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=a4670eb6-e1d4-402d-8f99-ca177a46fc38.40959c73-dc02-445f-b5e1-5b5576c56fbb.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2F192.168.59.109%3A8080%2Frealms%2Fmaster&session_state=40959c73-dc02-445f-b5e1-5b5576c56fbb&state=7S8xEGK-iLrcRJM2IlWaq_h_ay82cizY2ml93zGK4x0		192.168.59.1	1757395594
116	0	user	Login attempt failed for %user.	a:1:{s:5:"%user";s:13:"akshay2642005";}	5		http://drupal.home.clcreative.de/user/login	http://drupal.home.clcreative.de/user/login	192.168.59.1	1757395589
115	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:172:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://192.168.59.109:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=40ac82ae-62cb-451f-91d7-22e09fbb1d20.40959c73-dc02-445f-b5e1-5b5576c56fbb.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2F192.168.59.109%3A8080%2Frealms%2Fmaster&session_state=40959c73-dc02-445f-b5e1-5b5576c56fbb&state=J4C4esrksIAPya3Teciabw--JyHQUB0Q6oBnp2xwBEo		192.168.59.1	1757395498
114	0	openid_connect_keycloak	Could not retrieve tokens. Details: @error_message	a:1:{s:14:"@error_message";s:172:"cURL error 7: Couldn't connect to server (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for http://192.168.59.109:8080/realms/master/protocol/openid-connect/token";}	3		http://drupal.home.clcreative.de/openid-connect/keycloak?code=d50e7303-0b27-4c95-8322-639a847dcc67.40959c73-dc02-445f-b5e1-5b5576c56fbb.fbba9558-8663-4e03-8922-49c6df5a4099&iss=http%3A%2F%2F192.168.59.109%3A8080%2Frealms%2Fmaster&session_state=40959c73-dc02-445f-b5e1-5b5576c56fbb&state=bHGy2t2KvXWyRbZIOErWluUTNu4h6GChUYSSBufe4XU		192.168.59.1	1757395487
113	1	user	Session closed for %name.	a:1:{s:5:"%name";s:13:"akshay2642005";}	6		http://drupal.home.clcreative.de/user/logout?token=l5xBtAgXfGNhGdOLlgDSLPSSlonnwaN37zHh6YI_rc0	http://drupal.home.clcreative.de/admin/config/people/openid-connect/settings	192.168.59.1	1757395483
112	1	php	%type: @message in %function (line %line of %file) @backtrace_string.	a:6:{s:5:"%type";s:19:"Deprecated function";s:8:"@message";O:25:"Drupal\\Core\\Render\\Markup":1:{s:9:"\0*\0string";s:85:"str_getcsv(): the $escape parameter must be provided as its default value will change";}s:9:"%function";s:66:"Drupal\\openid_connect\\Form\\OpenIDConnectSettingsForm->submitForm()";s:5:"%file";s:89:"/var/www/drupal/web/modules/contrib/openid_connect/src/Form/OpenIDConnectSettingsForm.php";s:5:"%line";i:246;s:17:"@backtrace_string";s:3768:"#0 /var/www/drupal/web/core/includes/bootstrap.inc(104): _drupal_error_handler_real()\n#1 [internal function]: _drupal_error_handler()\n#2 /var/www/drupal/web/modules/contrib/openid_connect/src/Form/OpenIDConnectSettingsForm.php(246): str_getcsv()\n#3 [internal function]: Drupal\\openid_connect\\Form\\OpenIDConnectSettingsForm->submitForm()\n#4 /var/www/drupal/web/core/lib/Drupal/Core/Form/FormSubmitter.php(105): call_user_func_array()\n#5 /var/www/drupal/web/core/lib/Drupal/Core/Form/FormSubmitter.php(43): Drupal\\Core\\Form\\FormSubmitter->executeSubmitHandlers()\n#6 /var/www/drupal/web/core/lib/Drupal/Core/Form/FormBuilder.php(589): Drupal\\Core\\Form\\FormSubmitter->doSubmitForm()\n#7 /var/www/drupal/web/core/lib/Drupal/Core/Form/FormBuilder.php(321): Drupal\\Core\\Form\\FormBuilder->processForm()\n#8 /var/www/drupal/web/core/lib/Drupal/Core/Controller/FormController.php(73): Drupal\\Core\\Form\\FormBuilder->buildForm()\n#9 [internal function]: Drupal\\Core\\Controller\\FormController->getContentResult()\n#10 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(123): call_user_func_array()\n#11 /var/www/drupal/web/core/lib/Drupal/Core/Render/Renderer.php(627): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->{closure:Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber::wrapControllerExecutionInRenderContext():121}()\n#12 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(121): Drupal\\Core\\Render\\Renderer->executeInRenderContext()\n#13 /var/www/drupal/web/core/lib/Drupal/Core/EventSubscriber/EarlyRenderingControllerWrapperSubscriber.php(97): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->wrapControllerExecutionInRenderContext()\n#14 /var/www/drupal/vendor/symfony/http-kernel/HttpKernel.php(183): Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber->{closure:Drupal\\Core\\EventSubscriber\\EarlyRenderingControllerWrapperSubscriber::onController():96}()\n#15 /var/www/drupal/vendor/symfony/http-kernel/HttpKernel.php(76): Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw()\n#16 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/Session.php(53): Symfony\\Component\\HttpKernel\\HttpKernel->handle()\n#17 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/KernelPreHandle.php(48): Drupal\\Core\\StackMiddleware\\Session->handle()\n#18 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/ContentLength.php(28): Drupal\\Core\\StackMiddleware\\KernelPreHandle->handle()\n#19 /var/www/drupal/web/core/modules/big_pipe/src/StackMiddleware/ContentLength.php(32): Drupal\\Core\\StackMiddleware\\ContentLength->handle()\n#20 /var/www/drupal/web/core/modules/page_cache/src/StackMiddleware/PageCache.php(116): Drupal\\big_pipe\\StackMiddleware\\ContentLength->handle()\n#21 /var/www/drupal/web/core/modules/page_cache/src/StackMiddleware/PageCache.php(90): Drupal\\page_cache\\StackMiddleware\\PageCache->pass()\n#22 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/ReverseProxyMiddleware.php(48): Drupal\\page_cache\\StackMiddleware\\PageCache->handle()\n#23 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/NegotiationMiddleware.php(51): Drupal\\Core\\StackMiddleware\\ReverseProxyMiddleware->handle()\n#24 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/AjaxPageState.php(53): Drupal\\Core\\StackMiddleware\\NegotiationMiddleware->handle()\n#25 /var/www/drupal/web/core/lib/Drupal/Core/StackMiddleware/StackedHttpKernel.php(51): Drupal\\Core\\StackMiddleware\\AjaxPageState->handle()\n#26 /var/www/drupal/web/core/lib/Drupal/Core/DrupalKernel.php(715): Drupal\\Core\\StackMiddleware\\StackedHttpKernel->handle()\n#27 /var/www/drupal/web/index.php(19): Drupal\\Core\\DrupalKernel->handle()\n#28 {main}";}	7	
